ID,Essayset,min_score,max_score,score_1,score_2,score_3,score_4,score_5,clarity,coherent,EssayText
1,1.0,0,3,1,1,1.0,1.0,1.0,average,worst,additional information would need replicate experiment much vinegar placed identical container tool use measure mass four different sample much distilled water use rinse four sample taking vinegar
3,1.0,0,3,1,1,1.0,1.0,1.5,worst,above_average,need trial control set exact amount vinegar pour cup beaker could also take check mass every min hour
4,1.0,0,3,0,0,0.0,0.0,1.0,worst,worst,student list rock better rock worse procedure
5,1.0,0,3,2,2,2.0,2.5,1.0,above_average,worst,student able make replicate would need tell use much vinegar used tipe material needed expirement
6,1.0,0,3,1,0,0.0,0.0,0.0,worst,worst,would need information would let different sample dry container drying
7,1.0,0,3,1,0,0.0,0.5,0.0,average,worst,information would need order sucessfully replicate experiment correct measurement used experiment also material used creat experiament hour removing sample container rinsen sample distilled water making dry mintued might long enough really determine mass sample especially one different sample different texture
8,1.0,0,3,3,3,2.0,3.0,3.0,above_average,above_average,would need many piece information replicate experiment would need type sample begin procedure would also need know amount vinegar used container would also need know exactly mass sample type container use plastic example might alter result
9,1.0,0,3,3,3,3.0,3.0,3.0,above_average,above_average,additional information need material also need know size contaneir measure acid rain effected need know much vineager used sample another thing would help know big sample stone measureing best possible way
10,1.0,0,3,2,2,2.5,1.5,2.5,excellent,average,inorder replicate experiment need add information sticlenx statement four sample many piece need well amount vinegar bring poured container instrument need retrieve determining mass however revision sentence renuminering required
11,1.0,0,3,0,0,0.5,0.0,0.0,worst,worst,additional information would need order replicate experiment
12,1.0,0,3,3,3,2.0,3.0,3.0,above_average,above_average,additional infomation would need replicate experiment would include size sample also would need know kind vinegar ddition crucial get type size container
13,1.0,0,3,2,2,1.5,2.0,2.0,excellent,above_average,two piece additional information neccisary replicate experiment fipst procedure officialy specify four sample also procedure specify much vinigar pour container good procedure would specified
14,1.0,0,3,2,2,2.0,1.0,2.0,worst,average,order replicate experiment need
15,1.0,0,3,0,0,0.0,0.5,0.0,average,worst,well understand procedure take four sample put different container look put vinegar every sample finally rinse normal water let sit minute till dry finally going see difference sample
16,1.0,0,3,0,0,0.5,0.5,1.0,worst,worst,know going
17,1.0,0,3,3,3,2.0,2.0,2.0,above_average,excellent,order replicate experiment would need know shape material amount surface area expand vinegar mass change result would also need know much vinegar size container use order exactly replicate experiment
18,1.0,0,3,0,0,1.0,0.0,0.0,average,worst,additional information would need come hypothesis predict sample highest mass acid rain come dependent independent variable tell see one different mass organize data see information accurate write conclusion see hypothesis correct see result correct
19,1.0,0,3,0,0,0.5,0.0,1.0,average,worst,order replicate experiment would need scare order get mass next would need tape marker label container last would need sample graduated cylinder container replicate experiment
20,1.0,0,3,3,3,3.0,2.5,3.0,above_average,average,order replicate procedure would need know four sample used include procedure also stay put four container hour time period finally include type vinegar brand experiment would close actually therefore would able replicate experiment
21,1.0,0,3,0,0,0.0,1.0,0.0,worst,worst,would need four seperate identical container would also need pour vinegar determine mass item placed new item would needed placed container
22,1.0,0,3,2,2,2.5,2.0,2.0,excellent,excellent,inorder replicate experiment would need know mass four different sample much vinegar pour container sample made much water rinse hour
23,1.0,0,3,0,0,0.0,1.0,1.0,average,worst,student data needed include much solution poored also needed find rock weighed started
24,1.0,0,3,3,3,2.5,3.0,3.0,excellent,above_average,experiment duplication would need know exactly much vinegar used cup would also know big size container additionally would need know size sample assure could place cup evenly
25,1.0,0,3,1,1,2.0,2.0,1.0,excellent,worst,additional information would need amount vinegar poured
26,1.0,0,3,2,2,2.0,1.5,2.0,above_average,excellent,reading group procedure would need know type vinegar using could type measure container container could different size valid result also told holding constant know variable use control
27,1.0,0,3,2,2,2.0,2.0,2.0,excellent,average,needed include time started ended also amount vinegar used also size sample
28,1.0,0,3,0,0,0.0,0.0,0.0,average,worst,get different sample marble limestone wood plastic p put sample different container p pour vinegar separate identical container p hr remove sample container rinse w distilled water p allow sample sit dry min p determine data sample p record data
29,1.0,0,3,3,3,2.5,3.0,3.0,above_average,average,order replicate experiment would need know sample group procedure state
30,1.0,0,3,2,0,0.5,0.0,0.0,average,worst,step three would need know much sample use also step need fill container amount step must rinse stone much also control variable
31,1.0,0,3,2,2,2.0,2.0,1.5,excellent,average,additional information would need replicate experiment add going leave sample hour another one would need add order replicate experiment clearly state independent variable would also need state much vinegar pour seperate identical container
32,1.0,0,3,0,0,1.0,0.0,0.0,worst,worst,need timer determine time vinegar dryed
33,1.0,0,3,3,3,3.0,2.5,3.0,above_average,excellent,experiment would actually need know sample amount vinegar used size sample
34,1.0,0,3,3,3,2.0,3.0,3.0,excellent,excellent,replicate experiment would need know sample using would also need know much vinegar use would also need know type container use
35,1.0,0,3,1,1,1.5,1.0,1.0,worst,worst,order replicate experiment would need know much vinegar pour need know much distilled water aso need know going weigh
36,1.0,0,3,2,2,1.5,2.0,2.0,excellent,average,well would need know problem statement would need know type cup using would need know amount vinegar using would need know amount vinegar cup differ
37,1.0,0,3,2,2,2.0,2.0,2.0,excellent,average,order replicate experiment would need know much material used go find mass would need know much vinegar pour material although show material data take still list procedure
